"year","broad_money_growth","inflation_cpi","gov_cons_gdp","exrate_lcu_per_usd","tot_index","fx_depr","tot_growth","money_growth_l1","fx_depr_l1","tot_growth_l1","gov_cons_l1","post_stabilization","regime","high_infl_20","high_infl_100","infl_vol_5y","fx_vol_5y","log1p_inflation","inflation_cpi_w","fx_depr_w","broad_money_w"
1990,6384.91591214941,7481.66361124526,7.27374848190843,0.187885579166667,69.8428184143,425.518360672484,-4.29361210608441,1917.28170515126,302.989818568305,-15.9545493715821,8.58435859444137,FALSE,"Hyperinflation",TRUE,TRUE,3184.12719440956,176.892320994355,8.92034410534082,641.270412389567,200.39371793003,581.915629292484
1991,230.59502238985,409.530166622023,7.61217251643866,0.7725,65.6054792766,141.379885268107,-6.25880479993075,6384.91591214941,425.518360672484,-4.29361210608441,7.27374848190843,FALSE,"Hyperinflation",TRUE,TRUE,3128.13484691678,154.951094796892,6.01744941370038,409.530166622023,141.379885268107,230.59502238985
1992,88.1788916992412,73.5282942442641,7.85955799014648,1.24583333333333,71.9136984708,47.7927920258929,9.1807549711846,230.59502238985,141.379885268107,-6.25880479993075,7.61217251643866,FALSE,"Pre-stabilization",TRUE,FALSE,3130.42099826292,145.897299328087,4.31117884179772,73.5282942442641,47.7927920258929,88.1788916992412
1993,71.7970649690245,48.5799864468885,7.98563822184906,1.98831891666667,67.6307496739,46.7484866178126,-6.1404011275096,88.1788916992412,47.7927920258929,9.1807549711846,7.85955799014648,FALSE,"Pre-stabilization",TRUE,FALSE,3227.03921597062,166.809590377629,3.90358725324857,48.5799864468885,46.7484866178126,71.7970649690245
1994,37.2170103202771,23.7369050565046,8.79700544740766,2.195,72.5445203657,9.88925303003164,7.01376909473357,71.7970649690245,46.7484866178126,-6.1404011275096,7.98563822184906,FALSE,"Pre-stabilization",TRUE,FALSE,3287.57266666728,169.915457649804,3.20829626037185,23.7369050565046,9.88925303003164,37.2170103202771
1995,29.2640068835753,11.1287029707089,9.87834994969359,2.25333333333333,75.4863908286,2.62285548596268,3.9751938677469,37.2170103202771,9.88925303003164,7.01376909473357,8.79700544740766,TRUE,"Post-stabilization",FALSE,FALSE,167.319531330896,55.2691198945297,2.49557478984466,11.1287029707089,2.62285548596268,29.2640068835753
1996,37.2447670222151,11.5379424115177,10.3594236243234,2.45333333333333,73.0877281188,8.50370426859124,-3.22919114106064,29.2640068835753,2.62285548596268,3.9751938677469,9.87834994969359,TRUE,"Post-stabilization",FALSE,FALSE,26.9610390103244,22.2253986324917,2.52875943972572,11.5379424115177,8.50370426859124,37.2447670222151
1997,30.7820639804126,8.56218948953653,10.2385332945999,2.66416666666667,77.8238261196,8.24436692110773,6.2787157952954,37.2447670222151,8.50370426859124,-3.22919114106064,10.3594236243234,TRUE,"Post-stabilization",FALSE,FALSE,16.6537945262193,17.8529885342058,2.25781672694298,8.56218948953653,8.24436692110773,30.7820639804126
1998,17.3271286102373,7.24782175213469,10.9812652995953,2.93,68.0579604308,9.5111109745225,-13.4087931223112,30.7820639804126,8.24436692110773,6.2787157952954,10.2385332945999,TRUE,"Post-stabilization",FALSE,FALSE,6.5602851343611,2.9486397023658,2.10994913544024,7.24782175213469,9.5111109745225,17.3271286102373
1999,14.4902175465321,3.46965996293019,11.5489906334077,3.38333333333333,63.1220330004,14.385899379071,-7.528981688366,17.3271286102373,9.5111109745225,-13.4087931223112,10.9812652995953,TRUE,"Post-stabilization",FALSE,FALSE,3.27696502594591,4.18791120603924,1.49731233479909,3.46965996293019,14.385899379071,14.4902175465321
